net,test case,ground truth,your output,your runtime,your point
fc_base,img0_mnist_0.0020.txt,not verified,not verified,1.737,0
fc_base,img1_mnist_0.0078.txt,not verified,not verified,1.898,0
fc_base,img2_mnist_0.0300.txt,not verified,not verified,1.584,0
fc_base,img3_mnist_0.0936.txt,verified,verified,1.609,1
fc_base,img4_mnist_0.0955.txt,verified,verified,1.552,1
fc_1,img0_mnist_0.0127.txt,not verified,timeout (not verified),60,0
fc_1,img1_mnist_0.0373.txt,not verified,timeout (not verified),60,0
fc_1,img2_mnist_0.0424.txt,not verified,timeout (not verified),60,0
fc_1,img3_mnist_0.0075.txt,verified,verified,1.682,1
fc_1,img4_mnist_0.0349.txt,verified,verified,1.744,1
fc_1,img5_mnist_0.1110.txt,verified,verified,2.028,1
fc_1,img6_mnist_0.0419.txt,verified,verified,2.107,1
fc_1,img7_mnist_0.0915.txt,verified,verified,1.915,1
fc_1,img8_mnist_0.0444.txt,verified,verified,1.967,1
fc_1,img9_mnist_0.0693.txt,verified,verified,1.917,1
fc_2,img0_mnist_0.0541.txt,not verified,timeout (not verified),60,0
fc_2,img1_mnist_0.0717.txt,not verified,timeout (not verified),60,0
fc_2,img2_mnist_0.0908.txt,not verified,timeout (not verified),60,0
fc_2,img3_mnist_0.0031.txt,verified,verified,1.732,1
fc_2,img4_mnist_0.0540.txt,verified,verified,2.321,1
fc_2,img5_mnist_0.0392.txt,verified,verified,1.733,1
fc_2,img6_mnist_0.0563.txt,verified,verified,1.723,1
fc_2,img7_mnist_0.0843.txt,verified,verified,1.753,1
fc_2,img8_mnist_0.0750.txt,verified,verified,1.877,1
fc_2,img9_mnist_0.0618.txt,verified,verified,2.003,1
fc_3,img0_mnist_0.0236.txt,not verified,timeout (not verified),60,0
fc_3,img1_mnist_0.0297.txt,not verified,timeout (not verified),60,0
fc_3,img2_mnist_0.0615.txt,not verified,timeout (not verified),60,0
fc_3,img3_mnist_0.0019.txt,verified,verified,1.559,1
fc_3,img4_mnist_0.0621.txt,verified,verified,1.771,1
fc_3,img5_mnist_0.0442.txt,verified,verified,2.049,1
fc_3,img6_mnist_0.0569.txt,verified,verified,1.704,1
fc_3,img7_mnist_0.0749.txt,verified,verified,1.769,1
fc_3,img8_mnist_0.0751.txt,verified,verified,2.353,1
fc_3,img9_mnist_0.0785.txt,verified,verified,1.875,1
fc_4,img0_mnist_0.1132.txt,not verified,timeout (not verified),60,0
fc_4,img1_mnist_0.1139.txt,not verified,timeout (not verified),60,0
fc_4,img2_mnist_0.1164.txt,not verified,timeout (not verified),60,0
fc_4,img3_mnist_0.0014.txt,verified,verified,1.658,1
fc_4,img4_mnist_0.0552.txt,verified,verified,1.792,1
fc_4,img5_mnist_0.0600.txt,verified,verified,1.628,1
fc_4,img6_mnist_0.0776.txt,verified,verified,1.659,1
fc_4,img7_mnist_0.0566.txt,verified,verified,1.776,1
fc_4,img8_mnist_0.0894.txt,verified,verified,2.391,1
fc_4,img9_mnist_0.0814.txt,verified,verified,1.598,1
fc_5,img0_mnist_0.0336.txt,not verified,timeout (not verified),60,0
fc_5,img1_mnist_0.0772.txt,not verified,timeout (not verified),60,0
fc_5,img2_mnist_0.1475.txt,not verified,timeout (not verified),60,0
fc_5,img3_mnist_0.0014.txt,verified,verified,1.776,1
fc_5,img4_mnist_0.0745.txt,verified,verified,1.802,1
fc_5,img5_mnist_0.1012.txt,verified,verified,1.993,1
fc_5,img6_mnist_0.0946.txt,verified,verified,1.598,1
fc_5,img7_mnist_0.1009.txt,verified,verified,1.978,1
fc_5,img8_mnist_0.1020.txt,verified,verified,2.013,1
fc_5,img9_mnist_0.1198.txt,verified,verified,2.154,1
fc_6,img0_mnist_0.0142.txt,not verified,timeout (not verified),60,0
fc_6,img1_mnist_0.0269.txt,not verified,timeout (not verified),60,0
fc_6,img2_mnist_0.0386.txt,not verified,timeout (not verified),60,0
fc_6,img3_mnist_0.0040.txt,verified,verified,2.116,1
fc_6,img4_mnist_0.0619.txt,verified,verified,2.328,1
fc_6,img5_mnist_0.0458.txt,verified,verified,2.263,1
fc_6,img6_mnist_0.0348.txt,verified,verified,2.268,1
fc_6,img7_mnist_0.0261.txt,verified,verified,2.319,1
fc_6,img8_mnist_0.0316.txt,verified,verified,2.13,1
fc_6,img9_mnist_0.0356.txt,verified,verified,2.25,1
fc_6,img0_cifar10_0.0019.txt,not verified,timeout (not verified),60,0
fc_6,img1_cifar10_0.0026.txt,not verified,timeout (not verified),60,0
